feature,pearson_r,p_value,p_fdr_BH,n_samples,fisher_z,t_statistic,abs_r,neg_log10_p,sig_p_0_05,sig_p_0_01,sig_p_0_001,sig_fdr_0_05,sig_fdr_0_10
"Treatment/medication code (1140874744.0 - gliclazide)",-0.0234432059444598,7.50434049145149e-07,4.69299219252438e-05,44535,-4.94803408154976,-4.94854304750655,0.0234432059444598,6.12468746911143,1,1,1,1,1
"Operative procedures - secondary OPCS4 (Z943 - Z94.3 Left sided operation)",-0.02332024797589,8.57180559915014e-07,5.34077260301292e-05,44535,-4.92207255197911,-4.92257412678624,0.02332024797589,6.06692768692719,1,1,1,1,1
"Femur shaft BMD (bone mineral density) (left) (2.0)",0.0283959025333933,8.81893658598269e-07,5.47454942111462e-05,29966,4.91660244287766,4.91734561163177,0.0283959025333933,6.05458378025177,1,1,1,1,1
"Diagnoses - main ICD10 (F103)",-0.0232668460909192,9.07966442726526e-07,5.61575581884153e-05,44535,-4.91079724447969,-4.91129563247787,0.0232668460909192,6.04193020214853,1,1,1,1,1
"Operative procedures - secondary OPCS4 (Y536 - Y53.6 Approach to organ under video control)",-0.0232343286674297,9.40297086156498e-07,5.79449499990966e-05,44535,-4.90393150901795,-4.90442796338166,0.0232343286674297,6.02673490970463,1,1,1,1,1
"Peak expiratory flow (PEF) (2.1)",0.0296203940123668,9.7353296921361e-07,5.97749243097157e-05,27322,4.89722762445903,4.89803382937312,0.0296203940123668,6.01164933628048,1,1,1,1,1
"Greenspace percentage, buffer 300m (0.0)",0.024175591603116,9.90678835481278e-07,6.06072903518166e-05,40962,4.8936895369649,4.89422617473406,0.024175591603116,6.00406711502489,1,1,1,1,1
"Diagnoses - secondary ICD10 (S9200)",-0.0231661605189581,1.01170901792988e-06,6.16704215442094e-05,44535,-4.88953850584637,-4.89003092347065,0.0231661605189581,5.99494437887847,1,1,1,1,1
"Diagnoses - main ICD10 (S000)",-0.0231621414690677,1.01607837524692e-06,6.17139689426054e-05,44535,-4.88868992623492,-4.88918210657277,0.0231621414690677,5.99307279143747,1,1,1,1,1
"Diagnoses - main ICD10 (I714)",-0.0230935904143506,1.09346138672557e-06,6.61759695873165e-05,44535,-4.87421612490842,-4.87470427013208,0.0230935904143506,5.96119654854596,1,1,1,1,1
"Diagnoses - ICD10 (I633 - I63.3 Cerebral infarction due to thrombosis of cerebral arteries)",-0.0230885639981998,1.09935327584892e-06,6.62949287953895e-05,44535,-4.87315485422112,-4.87364270447904,0.0230885639981998,5.95886272514016,1,1,1,1,1
"Operative procedures - main OPCS4 (M271 - M27.1 Ureteroscopic laser fragmentation of calculus of ureter)",-0.0230192367522305,1.18380043942068e-06,7.11333466890325e-05,44535,-4.85851721867448,-4.85900101316357,0.0230192367522305,5.92672150315624,1,1,1,1,1
"Diagnoses - ICD10 (M8199 - M81.99 Osteoporosis, unspecified (Site unspecified))",-0.0229592785429188,1.26183791574324e-06,7.55536638557611e-05,44535,-4.8458577831235,-4.84633808881506,0.0229592785429188,5.89899642704046,1,1,1,1,1
"Diagnoses - secondary ICD10 (E876)",-0.0229232870065413,1.31103414002917e-06,7.8221948602094e-05,44535,-4.83825863138474,-4.83873685121574,0.0229232870065413,5.88238599890242,1,1,1,1,1
"Diagnoses - secondary ICD10 (S8250)",-0.0228984354726371,1.34607443005424e-06,8.00298125051615e-05,44535,-4.83301155575223,-4.83348833899718,0.0228984354726371,5.87093092549975,1,1,1,1,1
"Immature reticulocyte fraction (0.0)",-0.0236253342607312,1.39545450030956e-06,8.26745587288664e-05,41712,-4.82584836353118,-4.82635532933673,0.0236253342607312,5.85528431939508,1,1,1,1,1
"Liking for going to the pub (0.0)",0.0263153180767024,1.40270036080807e-06,8.28132713015531e-05,33604,4.82486319982334,4.82549214690693,0.0263153180767024,5.85303509129931,1,1,1,1,1
"Diagnoses - secondary ICD10 (R262)",-0.0228152113324659,1.47009815077893e-06,8.64899208219588e-05,44535,-4.81543991292004,-4.81591190700273,0.0228152113324659,5.8326536687085,1,1,1,1,1
"Date of intracerebral haemorrhage (0.0)",-0.0227143420033193,1.63517988162176e-06,9.58680982679982e-05,44535,-4.79414281841811,-4.79460905271355,0.0227143420033193,5.78643446483941,1,1,1,1,1
"Diagnoses - secondary ICD10 (K102)",-0.0226790794419407,1.69698607722719e-06,9.91474391487237e-05,44535,-4.7866976635548,-4.78716189584319,0.0226790794419407,5.77032172079853,1,1,1,1,1
"Diagnoses - secondary ICD10 (D220)",-0.0226328592220485,1.78140546085099e-06,0.000103720797263686,44535,-4.77693898337606,-4.77740060057133,0.0226328592220485,5.74923722070011,1,1,1,1,1
"MET minutes per week for walking (2.0)",0.0247700845629638,1.8245254661783e-06,0.000105866365967081,37105,4.77215998579573,4.77271251675168,0.0247700845629638,5.73885007050513,1,1,1,1,1
"Femur troch BMD (bone mineral density) (left) (2.0)",0.0274909625204051,1.90594966444691e-06,0.000110212192069131,30011,4.76340944665589,4.76408914367113,0.0274909625204051,5.71988857313191,1,1,1,1,1
"Histology of cancer tumour (9989.0)",-0.0225434049586566,1.9563932615063e-06,0.000112743004165645,44535,-4.75805216568333,-4.75850875066472,0.0225434049586566,5.70854384170828,1,1,1,1,1
"Diagnoses - main ICD10 (M4807)",-0.022496087114525,2.05551627881565e-06,0.000118052354992525,44535,-4.74806180073905,-4.74851573930545,0.022496087114525,5.68707907944222,1,1,1,1,1
"Diagnoses - main ICD10 (F051)",-0.0224818175634741,2.08634342975343e-06,0.000119416640038599,44535,-4.74504902981724,-4.74550217240019,0.0224818175634741,5.6806142014845,1,1,1,1,1
"Interval between previous point and current one in numeric path (trail #1) (1.4)",-0.026104902846199,2.13549677219555e-06,0.000121415672805048,32963,-4.74039317536043,-4.74100376014128,0.026104902846199,5.67050108067299,1,1,1,1,1
"Diagnoses - secondary ICD10 (K709)",-0.0224561833034227,2.14284101249063e-06,0.000121415672805048,44535,-4.73963680039937,-4.74008851548359,0.0224561833034227,5.66901005012449,1,1,1,1,1
"Diagnoses - ICD10 (K709 - K70.9 Alcoholic liver disease, unspecified)",-0.0224561833034227,2.14284101249063e-06,0.000121415672805048,44535,-4.73963680039937,-4.74008851548359,0.0224561833034227,5.66901005012449,1,1,1,1,1
"Trunk total mass (2.0)",0.0273174263003186,2.20290751562859e-06,0.000124401650171869,30021,4.73411410301331,4.73478208079724,0.0273174263003186,5.65700373539362,1,1,1,1,1
"Operative procedures - secondary OPCS4 (Y829 - Y82.9 Unspecified local anaesthetic)",-0.0223436259743177,2.40878086655472e-06,0.000135574216439255,44535,-4.71587234620446,-4.71631783016609,0.0223436259743177,5.61820270717261,1,1,1,1,1
"Diagnoses - ICD10 (E876 - E87.6 Hypokalaemia)",-0.0223362435459516,2.42728842677348e-06,0.000136162010252725,44535,-4.71431368351212,-4.71475876088039,0.0223362435459516,5.61487861480378,1,1,1,1,1
"Operative procedures - secondary OPCS4 (U401 - U40.1 Diagnostic intradermal inoculation of skin)",-0.0223308151736707,2.4409842306572e-06,0.000136476883227308,44535,-4.71316758381266,-4.71361236237299,0.0223308151736707,5.61243502622012,1,1,1,1,1
"Diagnoses - ICD10 (R262 - R26.2 Difficulty in walking, not elsewhere classified)",-0.0222446855083222,2.66847250141679e-06,0.00014870349236443,44535,-4.69498294635927,-4.69542300245296,0.0222446855083222,5.57373726823775,1,1,1,1,1
"FI1 : numeric addition test (2.0)",0.0231915106618903,2.70851913703224e-06,0.000150010040226811,40919,4.69195138095175,4.6924294756663,0.0231915106618903,5.56726809155983,1,1,1,1,1
"Operative procedures - OPCS4 (U362 - U36.2 Positron emission tomography with computed tomography NEC)",-0.0222298392684899,2.70968683856543e-06,0.000150010040226811,44535,-4.69184845279717,-4.69228769840405,0.0222298392684899,5.56708089810779,1,1,1,1,1
"Diagnoses - main ICD10 (G309)",-0.0222106747044385,2.76379308629409e-06,0.000152505379941424,44535,-4.6878022324827,-4.68824043338799,0.0222106747044385,5.55849447390435,1,1,1,1,1
"Liking for bitter foods (0.0)",0.0256339095081747,2.78032922968687e-06,0.000152918107632778,33415,4.68663611544592,4.68721976113414,0.0256339095081747,5.55590377452423,1,1,1,1,1
"Date of alzheimer's disease report (0.0)",-0.022195688401502,2.80682386326271e-06,0.000153874093932438,44535,-4.68463817212645,-4.68507555729772,0.022195688401502,5.55178483981058,1,1,1,1,1
"Diagnoses - main ICD10 (S005)",-0.0221860153464119,2.8349390924369e-06,0.000154912448465363,44535,-4.68259589969257,-4.68303275890003,0.0221860153464119,5.54745626731877,1,1,1,1,1
"Operative procedures - secondary OPCS4 (Y032 - Y03.2 Renewal of prosthesis in organ NOC)",-0.0221402295660166,2.97172492473296e-06,0.000161361463919105,44535,-4.67292915829097,-4.67336353388848,0.0221402295660166,5.52699139316161,1,1,1,1,1
"Diagnoses - secondary ICD10 (K760)",-0.0221401163795451,2.97207078938951e-06,0.000161361463919105,44535,-4.67290526128129,-4.67333963075126,0.0221401163795451,5.52694085067354,1,1,1,1,1
"Diagnoses - ICD10 (D232 - D23.2 Skin of ear and external auricular canal)",-0.0221295998850585,3.00437514457183e-06,0.000162592545884921,44535,-4.67068491897385,-4.67111871937764,0.0221295998850585,5.52224583962884,1,1,1,1,1
"Trunk BMC (bone mineral content) (2.0)",0.0269428299300689,3.02900122844567e-06,0.000162897994858931,30020,4.66908706710827,4.66973003820747,0.0269428299300689,5.51870055053407,1,1,1,1,1
"Diagnoses - main ICD10 (H355)",-0.0221215550554519,3.02931420703017e-06,0.000162897994858931,44535,-4.66898641875465,-4.66941978418772,0.0221215550554519,5.51865567836663,1,1,1,1,1
"Liking for pizza (0.0)",0.025416738347657,3.04458272541485e-06,0.000163199299424222,33719,4.66800579472315,4.66857785671867,0.025416738347657,5.51647222108291,1,1,1,1,1
"Liking for working up a sweat (0.0)",0.0253915558379601,3.25735192120148e-06,0.000174051858194579,33585,4.65410258487842,4.65467222506441,0.0253915558379601,5.48713531813781,1,1,1,1,1
"Diagnoses - main ICD10 (Z466)",-0.0220213211150228,3.35717827246632e-06,0.00017882004773058,44535,-4.64782413556272,-4.64825210685269,0.0220213211150228,5.47402559628767,1,1,1,1,1
"Operative procedures - OPCS4 (M162 - M16.2 Maintenance of drainage tube of kidney)",-0.0220171113109263,3.3716676254684e-06,0.000179027068729667,44535,-4.64693532623536,-4.64736307199737,0.0220171113109263,5.47215524411242,1,1,1,1,1
"Length of time at current address (0.0)",-0.0220298945280226,3.39248659270097e-06,0.000179567824820551,44459,-4.6456649119745,-4.64609306624918,0.0220298945280226,5.46948186002121,1,1,1,1,1
"Diagnoses - main ICD10 (F220)",-0.022003434640776,3.41915517605403e-06,0.000180030493885452,44535,-4.64404779348339,-4.64447480712693,0.022003434640776,5.46608118859367,1,1,1,1,1
"Diagnoses - secondary ICD10 (Y451)",-0.0220024633637068,3.4225518825721e-06,0.000180030493885452,44535,-4.6438427294281,-4.6442696911118,0.0220024633637068,5.4656499596603,1,1,1,1,1
"Diagnoses - secondary ICD10 (C679)",-0.0219919677873075,3.4594635435136e-06,0.000181406962522445,44535,-4.6416268170132,-4.6420532175013,0.0219919677873075,5.46099124171443,1,1,1,1,1
"Diagnoses - secondary ICD10 (M2583)",-0.0219858996207731,3.48097837040622e-06,0.000181970030291978,44535,-4.64034565625111,-4.64077173250966,0.0219858996207731,5.4582986752628,1,1,1,1,1
"Diagnoses - main ICD10 (O709)",-0.0219780413042071,3.509030925487e-06,0.000182870330792741,44535,-4.63868654493645,-4.63911220156983,0.0219780413042071,5.45481280428127,1,1,1,1,1
"Diagnoses - secondary ICD10 (Z952)",-0.0219263286564979,3.69911370455184e-06,0.000191593665341588,44535,-4.62776856703424,-4.62819146942243,0.0219263286564979,5.43190231899537,1,1,1,1,1
"Diagnoses - ICD10 (Z952 - Z95.2 Presence of prosthetic heart valve)",-0.0219263286564979,3.69911370455184e-06,0.000191593665341588,44535,-4.62776856703424,-4.62819146942243,0.0219263286564979,5.43190231899537,1,1,1,1,1
"Diagnoses - main ICD10 (T808)",-0.0219160752834358,3.73795745099778e-06,0.000193013491009473,44535,-4.62560379781036,-4.62602615557143,0.0219160752834358,5.42736564648368,1,1,1,1,1
"Diagnoses - main ICD10 (E220)",-0.0218779102491209,3.88600623879894e-06,0.000200023478568507,44535,-4.61754611732433,-4.61796645215665,0.0218779102491209,5.41049650649646,1,1,1,1,1
"Diagnoses - main ICD10 (F259)",-0.0218750292465617,3.89740742961438e-06,0.000200023478568507,44535,-4.61693785959181,-4.61735804199084,0.0218750292465617,5.40922419128604,1,1,1,1,1
"Diagnoses - ICD10 (Z466 - Z46.6 Fitting and adjustment of urinary device)",-0.0218644114349514,3.93970347569725e-06,0.000201581494506509,44535,-4.61469615241732,-4.61511577336139,0.0218644114349514,5.40453646439641,1,1,1,1,1
"Diagnoses - main ICD10 (N280)",-0.0218607874679428,3.95423998386234e-06,0.000201714024554428,44535,-4.61393103521521,-4.61435046464827,0.0218607874679428,5.40293697677641,1,1,1,1,1
"Diagnoses - secondary ICD10 (D508)",-0.0218499758564272,3.99791375774002e-06,0.000203327631926025,44535,-4.61164841307149,-4.61206727151813,0.0218499758564272,5.39816657863751,1,1,1,1,1
"Diagnoses - secondary ICD10 (R828)",-0.0218018927839406,4.19780899517066e-06,0.000212852867517888,44535,-4.60149679556167,-4.60191312116527,0.0218018927839406,5.37697732617062,1,1,1,1,1
"Diagnoses - main ICD10 (J9691)",-0.0217983909554415,4.2127353397337e-06,0.000212970168297615,44535,-4.60075746711109,-4.60117360866751,0.0217983909554415,5.37543582406889,1,1,1,1,1
"Treatment/medication code (1140861954.0 - fenofibrate)",-0.0217805739252891,4.28947042345628e-06,0.00021620211373152,44535,-4.59699582339356,-4.59741102940723,0.0217805739252891,5.36759632235315,1,1,1,1,1
"Diagnoses - secondary ICD10 (C712)",-0.0217442492937731,4.4500839229246e-06,0.000223629961424351,44535,-4.58932674725664,-4.58974005045014,0.0217442492937731,5.35163179870011,1,1,1,1,1
"Liking for bicycling (0.0)",0.0256194513251254,4.51143286067849e-06,0.000225567640411207,32039,4.58652760077398,4.58710116084993,0.0256194513251254,5.34568550143581,1,1,1,1,1
"Diagnoses - main ICD10 (Z502)",-0.0217298440562002,4.51536052466616e-06,0.000225567640411207,44535,-4.58628542963979,-4.58669797991305,0.0217298440562002,5.34530756813626,1,1,1,1,1
"Diagnoses - main ICD10 (R601)",-0.0217134570411415,4.59073269326701e-06,0.000228656405680866,44535,-4.58282570993911,-4.58323740486917,0.0217134570411415,5.33811799436507,1,1,1,1,1
"Diagnoses - main ICD10 (M2447)",-0.0217058729869207,4.62602216339214e-06,0.000229736424202577,44535,-4.58122452216701,-4.581635821654,0.0217058729869207,5.33479229084429,1,1,1,1,1
"Scale to indicate how health is today (0.0)",0.0249733876645896,4.70431239005963e-06,0.000232939339314243,33590,4.5777637509013,4.57830795384322,0.0249733876645896,5.32750384663123,1,1,1,1,1
"Mother still alive (0.0)",0.0218265071249513,4.78160219838643e-06,0.000236074131929108,43911,4.57430426683236,4.57471968139194,0.0218265071249513,5.32042655750337,1,1,1,1,1
"Diagnoses - ICD10 (I350 - I35.0 Aortic (valve) stenosis)",-0.0216689388042325,4.80162779558558e-06,0.000236371677342456,44535,-4.57342677932079,-4.57383615677883,0.0216689388042325,5.31861150787505,1,1,1,1,1
"Diagnoses - secondary ICD10 (S3200)",-0.0216542744090429,4.8731062453914e-06,0.000239193020213471,44535,-4.57033075698035,-4.57073937304706,0.0216542744090429,5.31219411985527,1,1,1,1,1
"Diagnoses - secondary ICD10 (M2547)",-0.0216442363252963,4.92262105991575e-06,0.000240923062599065,44535,-4.56821146637889,-4.56861956182492,0.0216442363252963,5.30780359463994,1,1,1,1,1
"Diagnoses - secondary ICD10 (J848)",-0.0216327757341986,4.97974175050163e-06,0.000243014275887919,44535,-4.5657918500152,-4.56619935162647,0.0216327757341986,5.30279317917608,1,1,1,1,1
"Glycated haemoglobin (HbA1c) (0.0)",-0.0224342437356091,5.03798395303021e-06,0.000245148008780735,41365,-4.56336360552084,-4.56380169823179,0.0224342437356091,5.29774322014905,1,1,1,1,1
"Operative procedures - OPCS4 (M479 - M47.9 Unspecified urethral catheterisation of bladder)",-0.0216168056920071,5.06039742254694e-06,0.000245531064596854,44535,-4.56242017815745,-4.56282685327662,0.0216168056920071,5.29581537414017,1,1,1,1,1
"Operative procedures - OPCS4 (U548 - U54.8 Other specified rehabilitation for other disorders)",-0.0216056448826161,5.1175053734676e-06,0.00024759048203725,44535,-4.5600638559637,-4.56046995417318,0.0216056448826161,5.29094169264863,1,1,1,1,1
"Diagnoses - secondary ICD10 (Z129)",-0.0215877804200642,5.21020122913749e-06,0.000251354993582819,44535,-4.55629222957814,-4.55669740554553,0.0215877804200642,5.28314550299292,1,1,1,1,1
"Operative procedures - secondary OPCS4 (C712 - C71.2 Phacoemulsification of lens)",-0.0215638961599113,5.336647088002e-06,0.000256721612766136,44535,-4.55124968075739,-4.55165362598914,0.0215638961599113,5.27273151610235,1,1,1,1,1
"Diagnoses - main ICD10 (K700)",-0.0215504749837609,5.40898410645673e-06,0.000259462206356596,44535,-4.54841614599185,-4.54881940078303,0.0215504749837609,5.26688429466965,1,1,1,1,1
"Pelvis BMC (bone mineral content) (2.0)",0.0262057549511128,5.59685482520592e-06,0.000267713579953547,30020,4.5412955178882,4.54189121002692,0.0262057549511128,5.25205595795474,1,1,1,1,1
"Lamb/mutton intake (2.0)",-0.0215836193488677,5.78804814072001e-06,0.000276076815977563,44120,-4.53413776925382,-4.53454131817526,0.0215836193488677,5.23746786539645,1,1,1,1,1
"Leg fat mass (right) (0.0)",-0.0215957265266128,5.82701674016706e-06,0.00027715261312034,44043,-4.53272115427296,-4.53312506214142,0.0215957265266128,5.23455373424351,1,1,1,1,1
"Operative procedures - main OPCS4 (L544 - L54.4 Percutaneous transluminal insertion of stent into iliac artery)",-0.0214665297855783,5.88317941215783e-06,0.000279037877455857,44535,-4.530693322299,-4.53109227719937,0.0214665297855783,5.23038790726069,1,1,1,1,1
"Forced vital capacity (FVC) (0.0)",0.0222735352542598,5.97039440932721e-06,0.000282381259387927,41309,4.52759486643929,4.52802417379574,0.0222735352542598,5.22399697806049,1,1,1,1,1
"Diagnoses - secondary ICD10 (Z572)",-0.0214404582608194,6.03837878667953e-06,0.000284005642933381,44535,-4.52518901765759,-4.52558664362009,0.0214404582608194,5.21907964722466,1,1,1,1,1
"Diagnoses - ICD10 (Z572 - Z57.2 Occupational exposure to dust)",-0.0214404582608194,6.03837878667953e-06,0.000284005642933381,44535,-4.52518901765759,-4.52558664362009,0.0214404582608194,5.21907964722466,1,1,1,1,1
"Operative procedures - OPCS4 (M274 - M27.4 Ureteroscopic insertion of ureteric stent)",-0.0213846994546667,6.38355619607733e-06,0.000299406517696571,44535,-4.51341705879159,-4.51381185290755,0.0213846994546667,5.19493731405935,1,1,1,1,1
"Diagnoses - secondary ICD10 (R32)",-0.0213743862391402,6.44943598730585e-06,0.000301658522564153,44535,-4.51123970626935,-4.51163397814468,0.0213743862391402,5.19047826339744,1,1,1,1,1
"Frequency of travelling from home to job workplace (0.0)",0.0249233954675199,6.56933738024795e-06,0.000306417849904659,32696,4.50738385189922,4.50791964753109,0.0249233954675199,5.1824784335779,1,1,1,1,1
"Diagnoses - secondary ICD10 (V498)",-0.021343650871745,6.64965051575906e-06,0.000309309501263338,44535,-4.50475078234218,-4.5051435006891,0.021343650871745,5.17720117921807,1,1,1,1,1
"Treatment/medication code (1193.0 - omega-3/fish oil supplement)",-0.021338344178657,6.68481555834769e-06,0.000310090963468958,44535,-4.50363042152793,-4.50402287207806,0.021338344178657,5.17491057091462,1,1,1,1,1
"Diagnoses - ICD10 (M2547 - M25.47 Effusion of joint (Ankle and foot))",-0.0213273969928326,6.75792040598581e-06,0.000312018500464505,44535,-4.50131922817927,-4.50171112669218,0.0213273969928326,5.17018692760177,1,1,1,1,1
"Treatment/medication code (1140916682.0 - evening primrose oil)",-0.0213265919258915,6.76332669055427e-06,0.000312018500464505,44535,-4.50114926076271,-4.5015411186996,0.0213265919258915,5.16983963423985,1,1,1,1,1
"Diagnoses - ICD10 (I501 - I50.1 Left ventricular failure)",-0.02131428290192,6.84650271650585e-06,0.000314995090921529,44535,-4.49855055460257,-4.49894179251827,0.02131428290192,5.16453121519102,1,1,1,1,1
"Minimum carotid IMT (intima-medial thickness) at 210 degrees  (2.0)",0.0253323538925882,6.88899778613023e-06,0.000316088933746763,31507,4.49729443406222,4.49784704577014,0.0253323538925882,5.16184395481406,1,1,1,1,1
"Diagnoses - secondary ICD10 (I350)",-0.0213016269477536,6.93304279521948e-06,0.000317247771266344,44535,-4.49587860525692,-4.49626920638783,0.0213016269477536,5.15907611904682,1,1,1,1,1
"Diagnoses - secondary ICD10 (N209)",-0.0212906274547814,7.00910507806223e-06,0.000319733512482275,44535,-4.4935563723501,-4.49394642062689,0.0212906274547814,5.15433742917603,1,1,1,1,1
"Diagnoses - secondary ICD10 (M8199)",-0.021286205707516,7.03990613215161e-06,0.000319733512482275,44535,-4.49262284535406,-4.4930126715394,0.021286205707516,5.15243313156248,1,1,1,1,1
"Able to pay rent/mortgage as an adult (0.0)",0.0270851629124733,7.04417332800747e-06,0.000319733512482275,27502,4.49258328315939,4.49321456539022,0.0270851629124733,5.15216996638007,1,1,1,1,1
"Difficulty with standing for long periods (0.0)",-0.0235100626727245,7.11524530148215e-06,0.000322093611033582,36470,-4.49038769804175,-4.49086309184306,0.0235100626727245,5.14781012281179,1,1,1,1,1
"Diagnoses - secondary ICD10 (S499)",-0.0212569154332596,7.24722947939124e-06,0.00032631858602539,44535,-4.48643903599644,-4.4868273932374,0.0212569154332596,5.13982798677673,1,1,1,1,1
"Diagnoses - ICD10 (S499 - S49.9 Unspecified injury of shoulder and upper arm)",-0.0212569154332596,7.24722947939124e-06,0.00032631858602539,44535,-4.48643903599644,-4.4868273932374,0.0212569154332596,5.13982798677673,1,1,1,1,1
"Diagnoses - main ICD10 (G960)",-0.0212501451665739,7.29597509498557e-06,0.000327639732656466,44535,-4.48500968760589,-4.48539770585805,0.0212501451665739,5.13691665715343,1,1,1,1,1
"Augmentation index for PWA (2.1)",-0.0230473082770588,7.3371048141846e-06,0.000328612771319647,37839,-4.48383613867328,-4.48429250110705,0.0230473082770588,5.13447527676864,1,1,1,1,1
"Diagnoses - secondary ICD10 (R418)",-0.0211765633446175,7.84638761746452e-06,0.000350492737885948,44535,-4.46947501457268,-4.4698593618303,0.0211765633446175,5.10533024120167,1,1,1,1,1
"Operative procedures - main OPCS4 (A812 - A81.2 Injection of therapeutic substance around sympathetic nerve)",-0.0211670703381442,7.92022423161771e-06,0.000352857483247665,44535,-4.46747084441315,-4.46785471983173,0.0211670703381442,5.10126252280751,1,1,1,1,1
"Operative procedures - secondary OPCS4 (Z924 - Z92.4 Chest NEC)",-0.0211118846561599,8.36278889177824e-06,0.000371593922204409,44535,-4.45582002061986,-4.45620116107603,0.0211118846561599,5.07764886630178,1,1,1,1,1
"Operative procedures - main OPCS4 (M473 - M47.3 Removal of urethral catheter from bladder)",-0.0210943770628198,8.5080630575436e-06,0.000377056810306099,44535,-4.45212381601851,-4.45250409165223,0.0210943770628198,5.07016929998208,1,1,1,1,1
"Operative procedures - OPCS4 (T458 - T45.8 Other specified image controlled operations on abdominal cavity)",-0.021060339692155,8.79742905626713e-06,0.000388860182238404,44535,-4.44493785123123,-4.44531644943143,0.021060339692155,5.0556442266918,1,1,1,1,1
"Whole body fat mass (0.0)",-0.0211837649106956,8.85852491833395e-06,0.000390538363566759,43988,-4.44345127695867,-4.44383423288486,0.0211837649106956,5.05263858885353,1,1,1,1,1
"Operation code (1464.0 - colectomy/hemicolectomy)",-0.0210415896461069,8.96082392715863e-06,0.000394019562526233,44535,-4.44097934861672,-4.44135702497844,0.0210415896461069,5.04765205612278,1,1,1,1,1
"Femur neck BMC (bone mineral content) (left) (2.0)",0.0256184511005486,9.17660591504743e-06,0.000402459716559937,29972,4.43592333164562,4.43648279580774,0.0256184511005486,5.03731791846404,1,1,1,1,1
"Diagnoses - secondary ICD10 (I714)",-0.0209928559829482,9.39918049842724e-06,0.000411153271284829,44535,-4.43069073073199,-4.43106601843241,0.0209928559829482,5.02691001028604,1,1,1,1,1
"Operative procedures - main OPCS4 (W194 - W19.4 Primary open reduction of fracture of small bone and fixation using screw)",-0.020975639689935,9.55888065179439e-06,0.000415983762385434,44535,-4.42705604367468,-4.42743049004548,0.020975639689935,5.01959296077941,1,1,1,1,1
"Operative procedures - OPCS4 (W194 - W19.4 Primary open reduction of fracture of small bone and fixation using screw)",-0.020975639689935,9.55888065179439e-06,0.000415983762385434,44535,-4.42705604367468,-4.42743049004548,0.020975639689935,5.01959296077941,1,1,1,1,1
"Diagnoses - secondary ICD10 (I209)",-0.0209719023784623,9.59388913659948e-06,0.000416433979618206,44535,-4.42626702645395,-4.4266412903626,0.0209719023784623,5.01800530438599,1,1,1,1,1
"Diagnoses - main ICD10 (G620)",-0.0209631128192686,9.67670688133855e-06,0.000418951783824106,44535,-4.42441138455882,-4.42478521958968,0.0209631128192686,5.01427241403365,1,1,1,1,1
"Diagnoses - secondary ICD10 (Z864)",-0.0209077644833591,1.02141162904761e-05,0.000439962636644616,44535,-4.41272632156233,-4.41309746378484,0.0209077644833591,4.99079920189221,1,1,1,1,1
"Diagnoses - ICD10 (Z864 - Z86.4 Personal history of psychoactive substance abuse)",-0.0209077644833591,1.02141162904761e-05,0.000439962636644616,44535,-4.41272632156233,-4.41309746378484,0.0209077644833591,4.99079920189221,1,1,1,1,1
"Operative procedures - main OPCS4 (E178 - E17.8 Other specified operations on unspecified nasal sinus)",-0.0209045116561307,1.02465708918616e-05,0.000440237530557464,44535,-4.41203959008567,-4.41241057447307,0.0209045116561307,4.98942145089202,1,1,1,1,1
"Number of operations, self-reported (2.0)",0.022219319892861,1.03463313073905e-05,0.000443395441942357,39382,4.40995937452244,4.41037836582767,0.022219319892861,4.98521361884519,1,1,1,1,1
"Standing height (2.0)",0.0211119871953777,1.07108339782505e-05,0.000457854257525973,43474,4.40244020155899,4.40281798572828,0.0211119871953777,4.97017671235665,1,1,1,1,1
"Operative procedures - secondary OPCS4 (Z738 - Z73.8 Specified bone of hand NEC)",-0.0208433764127615,1.08751709985872e-05,0.000463705207856428,44535,-4.39913283650591,-4.39950086315053,0.0208433764127615,4.9635639055771,1,1,1,1,1
"Type of cancer: ICD9 (1749 - 1749 Malignant neoplasm of female breast - unspecified site)",-0.0208277934061781,1.1041190839785e-05,0.000467598707057331,44535,-4.39584298775531,-4.39621026312429,0.0208277934061781,4.95698408355821,1,1,1,1,1
"Diagnoses - secondary ICD10 (Y434)",-0.0208272398908975,1.10471322107054e-05,0.000467598707057331,44535,-4.39572613091308,-4.39609337961606,0.0208272398908975,4.95675044837803,1,1,1,1,1
"Difficulty with taking care of household responsibilities (0.0)",-0.0230145306737911,1.10495637616746e-05,0.000467598707057331,36470,-4.39570801246593,-4.39615647917482,0.0230145306737911,4.95665486764741,1,1,1,1,1
"Operative procedures - main OPCS4 (C751 - C75.1 Insertion of prosthetic replacement for lens NEC)",-0.0208011058342188,1.13311525045183e-05,0.000478316275096981,44535,-4.39020877349254,-4.39057476470379,0.0208011058342188,4.94572591530013,1,1,1,1,1
"Diagnoses - ICD10 (K760 - K76.0 Fatty (change of) liver, not elsewhere classified)",-0.0207928069604237,1.14227920744097e-05,0.000480982155053386,44535,-4.38845673703454,-4.38882232955741,0.0207928069604237,4.94222772846309,1,1,1,1,1
"Diagnoses - main ICD10 (D181)",-0.0207733263650412,1.16406923265324e-05,0.000488938034660445,44535,-4.38434404723382,-4.38470870507318,0.0207733263650412,4.93402118938963,1,1,1,1,1
